# Journal/WAL partial-write fault matrix.
# Regression: #4016
journal_wal_partial_write_fixture_schema_version=kamn.runtime.journal-wal-partial-write-fault-matrix.v1
journal_wal_partial_write_reason_taxonomy_version=kamn.runtime.journal-wal-partial-write-reason-taxonomy.v1
journal_wal_partial_write_reason_codes_csv=partial_snapshot_file_write_recovered_from_journal,partial_journal_tail_write_fail_closed,partial_snapshot_without_journal_repaired
columns=case_id|store|fault_mode|expected_outcome|expected_marker

channel_partial_snapshot_file_write|channel|partial_snapshot_file_write|recovery_clean|channel_snapshot_recovery_clean
message_partial_snapshot_file_write|message_lifecycle|partial_snapshot_file_write|recovery_clean|message_lifecycle_snapshot_recovery_clean
task_partial_snapshot_file_write|task_operation|partial_snapshot_file_write|recovery_clean|task_operation_snapshot_recovery_clean
channel_partial_journal_tail_write|channel|partial_journal_tail_write|fail_closed_corrupt_tail|channel_snapshot_journal_corrupt_tail
message_partial_journal_tail_write|message_lifecycle|partial_journal_tail_write|fail_closed_corrupt_tail|message_lifecycle_snapshot_journal_corrupt_tail
task_partial_journal_tail_write|task_operation|partial_journal_tail_write|fail_closed_corrupt_tail|task_operation_snapshot_journal_corrupt_tail
channel_partial_snapshot_without_journal|channel|partial_snapshot_without_journal|recovery_repaired_corrupt_payload|channel_snapshot_recovery_repaired_corrupt_payload
message_partial_snapshot_without_journal|message_lifecycle|partial_snapshot_without_journal|recovery_repaired_corrupt_payload|message_lifecycle_snapshot_recovery_repaired_corrupt_payload
task_partial_snapshot_without_journal|task_operation|partial_snapshot_without_journal|recovery_repaired_corrupt_payload|task_operation_snapshot_recovery_repaired_corrupt_payload
